profile,count,type
Sativa,428,type
Indica,680,type
Hybrid,1169,type
Creative,618,feeling
Energetic,334,feeling
Relaxed,1592,feeling
Eearthy,1693,flavor
Sweet,1093,flavor
Citrus,518,flavor
Aroused,196,feeling
Happy,1825,feeling
Flowery,265,flavor
Violet,7,flavor
Diesel,237,flavor
Uplifted,1464,feeling
Spicy/Herbal,225,flavor
Sage,39,flavor
Woody,252,flavor
Hungry,460,feeling
Apricot,8,flavor
Grapefruit,38,flavor
Talkative,350,feeling
Orange,76,flavor
Pungent,441,flavor
Giggly,281,feeling
Focused,585,feeling
Grape,124,flavor
Pine,293,flavor
Sleepy,720,flavor
Skunk,169,flavor
Berry,352,flavor
Pepper,58,flavor
Menthol,22,flavor
Blue,9,flavor
Cheese,67,flavor
Chemical,36,flavor
Mango,67,flavor
Lemon,190,flavor
Peach,3,flavor
Vanilla,23,flavor
Nutty,25,flavor
Chestnut,7,flavor
Tea,17,flavor
Tobacco,8,flavor
Tropical,153,flavor
Strawberry,47,flavor
Blueberry,144,flavor
Mint,18,flavor
Apple,16,flavor
Honey,31,flavor
Lavender,37,flavor
Lime,52,flavor
Coffee,24,flavor
Ammonia,28,flavor
Minty,41,flavor
Tree,31,flavor
Fruit,31,flavor
Butter,19,flavor
Pineapple,41,flavor
Tar,7,flavor
Rose,16,flavor
Plum,2,flavor
 Dry Mouth,2,feeling
Pear,3,flavor
