index,Strain,Type,Rating,Effects,Flavor,Description,Effects_tokens,Flavor_tokens,Description_tokens,General_Description
0,100-Og,hybrid,4.0,"Creative,Energetic,Tingly,Euphoric,Relaxed","Earthy,Sweet,Citrus","$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.","['creative', 'energetic', 'tingly', 'euphoric', 'relaxed']","['earthy', 'sweet', 'citrus']","['$100', 'og', '50/50', 'hybrid', 'strain', 'packs', 'strong', 'punch.', 'supposedly', 'refers', 'strength', 'high', 'price', 'started', 'showing', 'hollywood.', 'plant,', '$100', 'og', 'tends', 'produce', 'large', 'dark', 'green', 'buds', 'stems.', 'users', 'report', 'strong', 'body', 'effect', 'indica', 'pain', 'relief', 'alert,', 'cerebral', 'feeling', 'thanks', 'sativa', 'side.']","Creative,Energetic,Tingly,Euphoric,RelaxedEarthy,Sweet,Citrus$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side."
1,98-White-Widow,hybrid,4.7,"Relaxed,Aroused,Creative,Happy,Energetic","Flowery,Violet,Diesel","The ‘98 Aloha White Widow is an especially potent cut of White Widow that has grown in renown alongside Hawaiian legends like Maui Wowie and Kona Gold. This White Widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. Its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. This one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 Aloha White Widow is available from Pua Mana 1st Hawaiian Pakalōlō Seed Bank.  ","['relaxed', 'aroused', 'creative', 'happy', 'energetic']","['flowery', 'violet', 'diesel']","['‘98', 'aloha', 'white', 'widow', 'especially', 'potent', 'cut', 'white', 'widow', 'grown', 'renown', 'alongside', 'hawaiian', 'legends', 'like', 'maui', 'wowie', 'kona', 'gold.', 'white', 'widow', 'phenotype', 'reeks', 'diesel', 'skunk', 'rich', 'earthy', 'taste', 'intermittent', 'notes', 'hash.', 'buds', 'coated', 'trichomes,', 'giving', 'dark', 'foliage', 'lustrous', 'glint', 'room-filling', 'odor.', 'one-hitter-quitter', 'uplifts', 'mind', 'mind-bending', 'euphoria', 'materializes', 'body', 'airy', 'relaxation.', '‘98', 'aloha', 'white', 'widow', 'available', 'pua', 'mana', '1st', 'hawaiian', 'pakalōlō', 'seed', 'bank.']","Relaxed,Aroused,Creative,Happy,EnergeticFlowery,Violet,DieselThe ‘98 Aloha White Widow is an especially potent cut of White Widow that has grown in renown alongside Hawaiian legends like Maui Wowie and Kona Gold. This White Widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. Its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. This one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 Aloha White Widow is available from Pua Mana 1st Hawaiian Pakalōlō Seed Bank.  "
2,1024,sativa,4.4,"Uplifted,Happy,Relaxed,Energetic,Creative","Spicy/Herbal,Sage,Woody","1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense.","['uplifted', 'happy', 'relaxed', 'energetic', 'creative']","['spicy', 'herbal', 'sage', 'woody']","['1024', 'sativa-dominant', 'hybrid', 'bred', 'spain', 'medical', 'seeds', 'co.', 'breeders', 'claim', 'guard', 'secret', 'genetics', 'security', 'reasons,', 'regardless', 'genetic', 'heritage,', '1024', 'thc', 'powerhouse', 'sweet', 'spicy', 'bouquet.', 'subtle', 'fruit', 'flavors', 'mix', 'herbal', 'musk', 'produce', 'uplifting', 'sativa', 'effects.', 'specific', 'phenotype', 'noted', 'having', 'pungent', 'odor', 'fills', 'room,', 'similar', 'burning', 'incense.']","Uplifted,Happy,Relaxed,Energetic,CreativeSpicy/Herbal,Sage,Woody1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense."
3,13-Dawgs,hybrid,4.2,"Tingly,Creative,Hungry,Relaxed,Uplifted","Apricot,Citrus,Grapefruit","13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.","['tingly', 'creative', 'hungry', 'relaxed', 'uplifted']","['apricot', 'citrus', 'grapefruit']","['13', 'dawgs', 'hybrid', 'g13', 'chemdawg', 'genetics', 'bred', 'canadian', 'lp', 'delta', '9', 'biotech.', 'potent', 'strains', 'mix', 'create', 'balance', 'indica', 'sativa', 'effects.', '13', 'dawgs', 'sweet', 'earthy', 'musk', 'brings', 'blend', 'woody', 'citrus', 'flavors.', 'effects', '13', 'dawgs', 'induce', 'happy,', 'relaxed', 'body', 'buzz', 'creative', 'focused', 'mind', 'counters', 'depression', 'stimulates', 'appetite.']","Tingly,Creative,Hungry,Relaxed,UpliftedApricot,Citrus,Grapefruit13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite."
4,24K-Gold,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Citrus,Earthy,Orange","Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users! ","['happy', 'relaxed', 'euphoric', 'uplifted', 'talkative']","['citrus', 'earthy', 'orange']","['known', 'kosher', 'tangie,', '24k', 'gold', '60%', 'indica-dominant', 'hybrid', 'combines', 'legendary', 'la', 'strain', 'kosher', 'kush', 'champion', 'sativa', 'tangie', 'create', 'unique.', 'growing', 'tall', 'vegetative', 'cycle', 'stretchy', 'flower,', 'need', 'experienced', 'hand', 'grown', 'indoors.', 'phenotypes', 'exhibit', 'sweet', 'orange', 'aroma', 'tangie', 'dark', 'coloration', 'kosher', 'kush,', 'offer', 'strong', 'citrus', 'flavor', 'smoked', 'vaped.', 'thc', 'levels', 'range', '18%', '24%;', 'definitely', 'novice', 'users!']","Happy,Relaxed,Euphoric,Uplifted,TalkativeCitrus,Earthy,OrangeAlso known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users! "
5,3-Bears-Og,indica,0.0,None,None,"3 Bears OG by Mephisto Genetics is an autoflowering cross of Bear OG, Karma’s OG Cut, and Triangle Kush. This indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. Mephisto Genetics describes 3 Bears OG as a cornerstone to their artisanal collection, blending the best attributes of the fabled OG Kush with a compact, controllable growth structure. The 3 Bears OG has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.",['none'],['none'],"['3', 'bears', 'og', 'mephisto', 'genetics', 'autoflowering', 'cross', 'bear', 'og,', 'karma’s', 'og', 'cut,', 'triangle', 'kush.', 'indica-dominant', 'strain', 'generates', 'pungent,', 'flavorful', 'buds', 'smaller,', 'manageable', 'plant', 'size.', 'mephisto', 'genetics', 'describes', '3', 'bears', 'og', 'cornerstone', 'artisanal', 'collection,', 'blending', 'best', 'attributes', 'fabled', 'og', 'kush', 'compact,', 'controllable', 'growth', 'structure.', '3', 'bears', 'og', 'approximate', '70-day', 'growth', 'cycle', 'offers', 'effects', 'stimulate', 'appetite', 'leading', 'body', 'sleep.']","NoneNone3 Bears OG by Mephisto Genetics is an autoflowering cross of Bear OG, Karma’s OG Cut, and Triangle Kush. This indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. Mephisto Genetics describes 3 Bears OG as a cornerstone to their artisanal collection, blending the best attributes of the fabled OG Kush with a compact, controllable growth structure. The 3 Bears OG has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep."
6,3-Kings,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Sweet,Pungent","The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.","['relaxed', 'euphoric', 'happy', 'uplifted', 'hungry']","['earthy', 'sweet', 'pungent']","['3', 'kings', 'marijuana', 'strain,', 'holy', 'trinity', 'headband,', 'sour', 'diesel,', 'og', 'kush,', 'sativa-dominant', 'hybrid', 'genetic', 'masterpiece.', 'sour', 'tanginess', 'reek', 'sage', 'green', 'buds,', 'frosty', 'coat', 'gives', 'fair', 'warning', '3', 'kings’', 'potency.', 'medical', 'patients', 'appreciate', 'versatility', 'strain’s', 'medicinal', 'effects', 'relieves', 'pain,', 'stress,', 'nausea', 'heavy', 'sedation.']","Relaxed,Euphoric,Happy,Uplifted,HungryEarthy,Sweet,PungentThe 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings’ potency. Medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation."
7,303-Og,indica,4.2,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Citrus,Pungent,Earthy","The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.","['relaxed', 'happy', 'euphoric', 'uplifted', 'giggly']","['citrus', 'pungent', 'earthy']","['indica-dominant', '303', 'og', 'colorado', 'strain', 'bred', 'crossing', 'pre-98', 'bubba', 'kush', 'chemdawg.', 'parent', 'strains', 'pass', 'complex', 'flavor', 'profile', 'coffee', 'spice', 'diesel', 'undertones.', 'buzz', 'described', 'social', 'creative,', 'dreamy', 'experience', 'perfect', 'letting', 'steam', 'end', 'work', 'day.', 'happy', 'euphoria', 'induced', '303', 'og', 'help', 'patients', 'treating', 'depression,', 'anxiety,', 'stress', 'disorders.']","Relaxed,Happy,Euphoric,Uplifted,GigglyCitrus,Pungent,EarthyThe indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders."
8,3D-Cbd,sativa,4.6,"Uplifted,Focused,Happy,Talkative,Relaxed","Earthy,Woody,Flowery","3D CBD from Snoop Dogg’s branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer.","['uplifted', 'focused', 'happy', 'talkative', 'relaxed']","['earthy', 'woody', 'flowery']","['3d', 'cbd', 'snoop', 'dogg’s', 'branded', 'line', 'cannabis', 'strains', 'crafted', 'patients', 'mind.', 'thc:cbd', 'ratio', '5:8,', 'earthy-flavored', 'sativa', 'preferred', 'treating', 'pain,', 'inflammation,', 'muscle', 'tension.', 'consumers', 'susceptible', 'thc-induced', 'anxiety', 'appreciate', 'sobering,', 'relaxing', 'balance', 'cbd', 'offer.']","Uplifted,Focused,Happy,Talkative,RelaxedEarthy,Woody,Flowery3D CBD from Snoop Dogg’s branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer."
9,3X-Crazy,indica,4.4,"Relaxed,Tingly,Happy,Euphoric,Uplifted","Earthy,Grape,Sweet","Also known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. The relaxing effects induced by 3X Crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia. ","['relaxed', 'tingly', 'happy', 'euphoric', 'uplifted']","['earthy', 'grape', 'sweet']","['known', 'optimus', 'prime,', 'indica-dominant', '3x', 'crazy', 'three-way', 'cross', 'og', 'kush,', 'bubba', 'kush,', 'granddaddy', 'purple.', 'aroma', 'comprised', 'sweet', 'grape,', 'spicy', 'pepper,', 'earthy', 'notes', 'passed', 'bubba', 'kush', 'parent.', 'indica', 'leave', 'sedated', 'soothing', 'full-body', 'effects,', 'brief', 'phase', 'clear-headed', 'cerebral', 'psychoactivity.', 'relaxing', 'effects', 'induced', '3x', 'crazy', 'treat', 'variety', 'severe', 'symptoms,', 'include', 'pain,', 'spasms,', 'tension,', 'insomnia.']","Relaxed,Tingly,Happy,Euphoric,UpliftedEarthy,Grape,SweetAlso known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. The relaxing effects induced by 3X Crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia. "
